week 1,,
Day of the week,wpm,acc
wednesday,52,100
week 2,,
Day of the week,wpm,acc
wednesday,53,100
saturday,16,94
week 3,,
Day of the week,wpm,acc
wednesday,23,91
saturday,16,88
week 4,,
Day of the week,wpm,acc
wednesday,11,62
saturday,22,83
week 5,,
Day of the week,wpm,acc
wednesday,32,97
week 6,,
Day of the week,wpm,acc
wednesday,29,92
saturday,33,100
week 7,,
Day of the week,wpm,acc
saturday,33,96
week 8,,
Day of the week,wpm,acc
wednesday,27,95
saturday,30,87
week 9,,
Day of the week,wpm,acc
wednesday,14,86
